id,loc
7626547,"УБ — Чингэлтэй, Чингэлтэй, Хороо 4"
7061020,"УБ — Баянзүрх, 13-р хороолол"
7516943,"УБ — Сүхбаатар, 11-р хороолол"
7575934,"УБ — Сүхбаатар, Сүхбаатар, Хороо 3"
7532253,"УБ — Хан-Уул, Нисэх"
7589166,"УБ — Баянзүрх, Амгалан"
7456901,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7456901,"УБ — Баянзүрх, Баянзүрх, Хороо 16"
7550909,УБ — Сүхбаатар
7420835,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 18"
7559066,"УБ — Налайх, Налайх, Хороо 5"
7528824,"УБ — Баянгол, 6-р бичил"
7040710,"УБ — Сонгинохайрхан, 21-р хороолол"
7562147,"УБ — Баянгол, Баянгол, Хороо 4"
7371910,"УБ — Баянгол, 3, 4 хороолол"
7528447,"УБ — Баянгол, 3, 4 хороолол"
7545916,УБ — Сүхбаатар
7593376,УБ — Сүхбаатар
7593376,"УБ — Баянгол, 3, 4 хороолол"
7593376,"УБ — Баянгол, 3, 4 хороолол"
7537412,"УБ — Баянгол, 10-р хороолол"
7608313,УБ — Сүхбаатар
7368260,"УБ — Баянгол, 3, 4 хороолол"
7603741,УБ — Сүхбаатар
7576098,"УБ — Баянгол, Баянгол, Хороо 18"
6287204,"УБ — Баянгол, Төмөр зам"
7457727,"УБ — Сонгинохайрхан, 1-р хороолол"
7569002,"УБ — Баянгол, Баянгол, Хороо 13"
7092773,"УБ — Баянгол, 3, 4 хороолол"
7613994,"УБ — Баянгол, Төмөр зам"
7551199,"УБ — Баянгол, 10-р хороолол"
7583456,"УБ — Баянгол, Баянгол, Хороо 3"
7592630,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
7208139,УБ — Сүхбаатар
7208139,УБ — Сүхбаатар
7635835,"УБ — Сүхбаатар, Сүхбаатар, Хороо 3"
7562639,"УБ — Сүхбаатар, 5-р хороолол"
7456969,"УБ — Сонгинохайрхан, 1-р хороолол"
7456969,"УБ — Сонгинохайрхан, 1-р хороолол"
7586796,"УБ — Сонгинохайрхан, 1-р хороолол"
7149790,"УБ — Баянзүрх, 16-р хороолол"
7545269,"УБ — Сонгинохайрхан, 1-р хороолол"
7560246,"УБ — Баянзүрх, 16-р хороолол"
7351631,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 14"
7431160,"УБ — Баянгол, 3, 4 хороолол"
7628071,"УБ — Баянгол, 3, 4 хороолол"
7495827,"УБ — Сүхбаатар, Сүхбаатар, Хороо 3"
7620731,"УБ — Баянгол, Баянгол, Хороо 7"
7574780,УБ — Сүхбаатар
7599457,УБ — Сүхбаатар
7590843,"УБ — Баянзүрх, 15-р хороолол"
7598280,"УБ — Сонгинохайрхан, 1-р хороолол"
7598280,"УБ — Сонгинохайрхан, 1-р хороолол"
7291843,УБ — Сүхбаатар
7291843,"УБ — Баянгол, 3, 4 хороолол"
7545436,"УБ — Сонгинохайрхан, 1-р хороолол"
7629999,"УБ — Сонгинохайрхан, 1-р хороолол"
7573460,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7638040,УБ — Сүхбаатар
7386885,УБ — Сүхбаатар
7562624,"УБ — Сүхбаатар, Сүхбаатар, Хороо 6"
7636247,"УБ — Баянгол, Баянгол, Хороо 20"
7471662,"УБ — Сонгинохайрхан, 5 шар"
7579246,"УБ — Баянгол, 10-р хороолол"
7579246,"УБ — Баянгол, 10-р хороолол"
7570281,"УБ — Сонгинохайрхан, 1-р хороолол"
7535595,"УБ — Баянзүрх, 16-р хороолол"
7454873,"УБ — Баянгол, 3, 4 хороолол"
7340613,УБ — Баянгол
7428423,"УБ — Сүхбаатар, 5-р хороолол"
7041832,"УБ — Баянзүрх, 16-р хороолол"
7599795,"УБ — Сүхбаатар, Дамбадаржаа"
7331320,"УБ — Баянгол, Төмөр зам"
7331320,"УБ — Баянгол, Төмөр зам"
7610118,"УБ — Сонгинохайрхан, 1-р хороолол"
7090438,"УБ — Сонгинохайрхан, 1-р хороолол"
7602070,"УБ — Сонгинохайрхан, Москва хороолол"
6835499,"УБ — Сонгинохайрхан, 1-р хороолол"
7587409,"УБ — Баянзүрх, 15-р хороолол"
7610960,"УБ — Сонгинохайрхан, 1-р хороолол"
7574363,"УБ — Сонгинохайрхан, 1-р хороолол"
7640338,"УБ — Баянгол, 3, 4 хороолол"
7553700,"УБ — Баянзүрх, Сансар"
7565040,"УБ — Сонгинохайрхан, 5 шар"
7109296,"УБ — Сонгинохайрхан, 5 шар"
7543433,УБ — Сүхбаатар
7578270,УБ — Сүхбаатар
7359848,"УБ — Баянгол, Баянгол, Хороо 1"
7405746,"УБ — Сонгинохайрхан, 1-р хороолол"
7398893,"УБ — Сүхбаатар, 11-р хороолол"
7575511,"УБ — Сонгинохайрхан, 1-р хороолол"
7583628,УБ — Сүхбаатар
7547456,"УБ — Баянгол, 3, 4 хороолол"
