id,loc
7365993,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
7539212,"УБ — Сүхбаатар, 11-р хороолол"
7539212,"УБ — Сүхбаатар, 11-р хороолол"
7539212,"УБ — Сүхбаатар, 11-р хороолол"
7539212,"УБ — Сүхбаатар, 11-р хороолол"
7198168,"УБ — Сүхбаатар, Сүхбаатар, Хороо 2"
7200462,"УБ — Сүхбаатар, Сүхбаатар, Хороо 4"
7634935,"УБ — Сонгинохайрхан, 21-р хороолол"
7612249,"УБ — Хан-Уул, 19-р хороолол"
7612249,"УБ — Хан-Уул, 19-р хороолол"
7612249,"УБ — Хан-Уул, 19-р хороолол"
7616556,"УБ — Баянгол, Баянгол, Хороо 17"
7044418,"УБ — Хан-Уул, Зайсан"
7571139,"УБ — Баянзүрх, Офицер"
7555831,УБ — Сүхбаатар
7532540,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7044418,"УБ — Хан-Уул, Зайсан"
7523833,"УБ — Баянзүрх, 14-р хороолол"
7314691,"УБ — Баянзүрх, Баянзүрх, Хороо 14"
6940073,"УБ — Баянзүрх, 14-р хороолол"
7289997,УБ — Баянзүрх
7583475,"УБ — Хан-Уул, Хан-Уул, Хороо 16"
7605368,УБ — Сүхбаатар
7551387,"УБ — Баянгол, 3, 4 хороолол"
6933665,"УБ — Баянзүрх, 14-р хороолол"
7616219,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8"
7634120,"УБ — Баянзүрх, Баянзүрх, Хороо 14"
7638640,УБ — Сүхбаатар
7586437,"УБ — Хан-Уул, UB Town"
7624553,"УБ — Баянзүрх, Баянзүрх, Хороо 2"
7582053,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7558206,"УБ — Баянзүрх, Офицер"
7092085,"УБ — Баянзүрх, 13-р хороолол"
7092085,"УБ — Баянзүрх, 13-р хороолол"
7594710,"УБ — Баянгол, Алтай хотхон"
7621337,"УБ — Баянзүрх, Өгөөмөр захын зүүн"
7552423,"УБ — Баянгол, Алтай хотхон"
7540647,"УБ — Хан-Уул, Нисэх"
7569996,"УБ — Баянгол, Алтай хотхон"
7584225,"УБ — Баянзүрх, Их Монгол хороолол"
7546847,"УБ — Хан-Уул, Нисэх"
7584225,"УБ — Баянзүрх, Их Монгол хороолол"
7538231,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1"
7497267,"УБ — Хан-Уул, Viva city"
7574102,"УБ — Баянгол, 3, 4 хороолол"
7576182,"УБ — Баянгол, 3, 4 хороолол"
7576192,"УБ — Баянгол, 3, 4 хороолол"
7332033,УБ — Сүхбаатар
7594710,"УБ — Баянгол, Алтай хотхон"
7559905,"УБ — Сонгинохайрхан, 21-р хороолол"
7561030,"УБ — Хан-Уул, 120 мянгат"
